"authors","frequent_part_title","infrequent_part_title","title","uri","venue","year"
"d. scott mackay","information systems","integration application decision semantic global environmental making models","semantic integration of environmental models for application to global information systems and decision-making","dblp_a_0","sigmod record","1999"
"viswanath poosala , yannis e. ioannidis","","application estimation query load distribution parallel result balancing join","estimation of query-result distribution and its application in parallel-join load balancing","dblp_a_1","vldb","1996"
"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane","","aggregate incremental distributive functions maintenance non","incremental maintenance for non-distributive aggregate functions","dblp_a_2","vldb","2002"
"zhao-hui tang , georges gardarin , jean-robert gruser","databases based","cost expression selection path object processing oriented algorithms","cost-based selection of path expression processing algorithms in object-oriented databases","dblp_a_3","vldb","1996"
"erik g. hoel , hanan samet","","spatial join output operations benchmarking","benchmarking spatial join operations with spatial output","dblp_a_4","vldb","1995"
"daniel a. keim","databases based","similarity search geometry spatial efficient","efficient geometry-based similarity search of 3d spatial databases","dblp_a_5","sigmod conference","1999"
"aris m. ouksel","information","review world book mining search approach web wide","mining the world wide web : an information search approach - book review","dblp_a_6","sigmod record","2002"
"praveen seshadri","databases data","types relational enhanced object abstract","enhanced abstract data types in object-relational databases","dblp_a_7","vldb j.","1998"
"nandit soparkar , krithi ramamritham","databases","practice meet dart concepts report active time real","report on dart ' 96 : databases : active and real-time ( concepts meet practice )","dblp_a_8","sigmod record","1997"
"phil janus , albert d'andrea","system management database","generation next relational object unisql","unisql 's next-generation object-relational database management system","dblp_a_9","sigmod record","1996"
"alfons kemper , donald kossmann","","object strategies bases buffering dual","dual-buffering strategies in object bases","dblp_a_10","vldb","1994"
"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun","system management data","aurora stream","aurora : a data stream management system","dblp_a_11","sigmod conference","2003"
"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley","databases","priority time real assignment active","priority assignment in real-time active databases","dblp_a_12","vldb j.","1996"
"surojit chatterjee , gholamhosein sheikholeslami , aidong zhang","databases data based","spatial wavelet large approach clustering wavecluster","wavecluster : a wavelet based clustering approach for spatial data in very large databases","dblp_a_13","vldb j.","2000"
"hector garcia-molina , kevin chen-chuan chang","","query translation accounting approximate closeness mapping","approximate query mapping : accounting for translation closeness","dblp_a_14","vldb j.","2001"
