"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Mercure London North Watford Hunton Park Hotel (Now Open)","<https://www.hotels.com/ho220282/mercure-london-north-watford-hunton-park-hotel-now-open-kings-langley-united-kingdom/>","<https://www.hotels.com/de546707-qu3/mid-range-hotels-hemel-hempstead-united-kingdom/>","hotels.com","hotels.com_0","","","","","park hotel north","hunton open london mercure watford"
"Garden View Hotel","<https://au.hotels.com/ho193079/garden-view-hotel-london-united-kingdom/>","<https://au.hotels.com/nh1695969/accommodation-in-bloomsbury-london-united-kingdom/>","hotels.com","hotels.com_1","","","","","garden hotel","view"
"YHA London Central - Hostel","<https://uk.hotels.com/ho532721/yha-london-central-hostel-london-united-kingdom/>","<https://uk.hotels.com/de1722595/gotely-bilya-hoxton-square-london-spolucene-korolivstvo/>","hotels.com","hotels.com_10","","","","","","central hostel yha london"
"Point A Hotel London Kings Cross \u2013 St Pancras","<https://au.hotels.com/ho410470/point-a-hotel-london-kings-cross-st-pancras-london-united-kingdom/>","<https://au.hotels.com/nh1696015/accommodation-in-soho-london-united-kingdom/>","hotels.com","hotels.com_100","","","","","hotel st","point cross kings london pancras"
"The Bridge House Hotel","<https://www.hotels.com/ho228426/the-bridge-house-hotel-reigate-united-kingdom/>","<https://www.hotels.com/de1731776/hotels-near-epsom-station-london-united-kingdom/>","hotels.com","hotels.com_1000","","","","","hotel house","bridge"
"Comfort Inn Buckingham Palace","<https://www.hotels.com/ho285942/comfort-inn-buckingham-palace-london-united-kingdom/>","<https://www.hotels.com/de1653408/hotels-near-london-senate-house-library-london-united-kingdom/>","hotels.com","hotels.com_1001","","","","","comfort inn","palace buckingham"
"The Pelham Hotel","<https://www.hotels.com/ho130930/the-pelham-hotel-london-united-kingdom/>","<https://www.hotels.com/de1668837/hotels-near-down-house-london-united-kingdom/>","hotels.com","hotels.com_1002","","","","","hotel","pelham"
"The Connaught","<https://sg.hotels.com/ho172846/the-connaught-london-united-kingdom/>","<https://sg.hotels.com/de549499/london-united-kingdom-hotel-rooms/>","hotels.com","hotels.com_1003","","","","","","connaught"
"London Marriott Hotel County Hall","<https://www.hotels.com/ho234896/london-marriott-hotel-county-hall-london-united-kingdom/>","<https://www.hotels.com/de1700241/hotels-near-manor-house-underground-station-london-united-kingdom/>","hotels.com","hotels.com_1004","","","","","hotel","marriott hall county london"
"Chamberlain House","<https://ca.hotels.com/ho440105/chamberlain-house-londonderry-united-kingdom/>","<https://ca.hotels.com/de691995/fahan-ireland-hotels-rooms/>","hotels.com","hotels.com_1005","","","","","house","chamberlain"
"Wedgewood Hotel","<https://www.hotels.com/ho140321/wedgewood-hotel-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/?pos=HCOM_US&locale=en_US>","hotels.com","hotels.com_1006","","","","","hotel","wedgewood"
"Andora Apartments","<https://www.hotels.com/ho536660/andora-apartments-waltham-forest-united-kingdom/>","<https://www.hotels.com/de1700269/hotels-near-walthamstow-central-station-london-united-kingdom/?pos=HCOM_US&locale=en_US>","hotels.com","hotels.com_1007","","","","","apartments","andora"
"Hotel Caf\u00E9 Royal","<https://au.hotels.com/ho418078/hotel-cafe-royal-london-united-kingdom/>","<https://au.hotels.com/de1696059/accommodation-near-oxford-street-london-united-kingdom/>","hotels.com","hotels.com_1008","","","","","hotel","caf royal"
"Chrysos Hotel","<https://au.hotels.com/ho232367/chrysos-hotel-london-united-kingdom/>","<https://au.hotels.com/nh1696015/accommodation-in-soho-london-united-kingdom/>","hotels.com","hotels.com_101","","","","","hotel","chrysos"
"The Cumberland","<https://au.hotels.com/ho114408/the-cumberland-london-united-kingdom/>","<https://au.hotels.com/nh1696015/accommodation-in-soho-london-united-kingdom/>","hotels.com","hotels.com_102","","","","","","cumberland"
"Colnbrook Lodge Guest House","<https://www.hotels.com/ho575995/colnbrook-lodge-guest-house-slough-united-kingdom/>","<https://www.hotels.com/de1699482/hotels-near-ruislip-gardens-underground-station-london-united-kingdom/>","hotels.com","hotels.com_103","","","","","house lodge","colnbrook guest"
"Park Inn by Radisson London Heathrow Airport Hotel","<https://www.hotels.com/ho200713/park-inn-by-radisson-london-heathrow-airport-hotel-west-drayton-united-kingdom/>","<https://www.hotels.com/de1699482/hotels-near-ruislip-gardens-underground-station-london-united-kingdom/>","hotels.com","hotels.com_104","","","","","hotel airport park inn","heathrow london radisson"
"Pacific Inn London Heathrow","<https://www.hotels.com/ho441754/pacific-inn-london-heathrow-southall-united-kingdom/>","<https://www.hotels.com/de1699482/hotels-near-ruislip-gardens-underground-station-london-united-kingdom/>","hotels.com","hotels.com_105","","","","","inn","pacific heathrow london"
"Hyatt Place London Heathrow Airport","<https://www.hotels.com/ho324597/hyatt-place-london-heathrow-airport-west-drayton-united-kingdom/>","<https://www.hotels.com/de1699482/hotels-near-ruislip-gardens-underground-station-london-united-kingdom/>","hotels.com","hotels.com_106","","","","","airport","hyatt heathrow london place"
"Sleep Inn & Suites","<https://www.hotels.com/ho199667/sleep-inn-suites-niantic-united-states-of-america/>","<https://www.hotels.com/de1423789/hotels-new-london-connecticut/>","hotels.com","hotels.com_107","","","","","suites inn","sleep"
"Rodeway Inn","<https://www.hotels.com/ho127469/rodeway-inn-groton-united-states-of-america/>","<https://www.hotels.com/de1423789/hotels-new-london-connecticut/>","hotels.com","hotels.com_108","","","","","inn","rodeway"
"Groton Inn and Suites","<https://www.hotels.com/ho105814/groton-inn-and-suites-groton-united-states-of-america/>","<https://www.hotels.com/de1423789/hotels-new-london-connecticut/>","hotels.com","hotels.com_109","","","","","suites inn","groton"
"Hampton by Hilton London Croydon","<https://www.hotels.com/ho395639/hampton-by-hilton-london-croydon-croydon-united-kingdom/>","<https://www.hotels.com/de554641/hotels-croydon-united-kingdom/>","hotels.com","hotels.com_11","","","","","hilton hampton","croydon london"
"Heathrow Lodge","<https://ca.hotels.com/ho450412/heathrow-lodge-west-drayton-united-kingdom/>","<https://ca.hotels.com/de1710324/hotel-rooms-near-staines-station-london-united-kingdom/>","hotels.com","hotels.com_110","","","","","lodge","heathrow"
"Leonardo Hotel London Heathrow Airport","<https://ca.hotels.com/ho189097/leonardo-hotel-london-heathrow-airport-west-drayton-united-kingdom/>","<https://ca.hotels.com/de1710324/hotel-rooms-near-staines-station-london-united-kingdom/>","hotels.com","hotels.com_111","","","","","hotel airport","london heathrow leonardo"
"Red Roof Inn London I-75","<https://www.hotels.com/ho150703/red-roof-inn-london-i-75-london-united-states-of-america/>","<https://www.hotels.com/de1434176/hotels-manchester-kentucky/>","hotels.com","hotels.com_112","","","","","inn","red roof london"
"Country Inn & Suites By Carlson London","<https://www.hotels.com/ho129095/country-inn-suites-by-carlson-london-london-united-states-of-america/>","<https://www.hotels.com/de1434176/hotels-manchester-kentucky/>","hotels.com","hotels.com_113","","","","","suites inn","country carlson london"
"Antoinette Hotel - Kingston","<https://www.hotels.com/ho258646/antoinette-hotel-kingston-kingston-upon-thames-united-kingdom/>","<https://www.hotels.com/de1731693/hotels-near-kingston-upon-thames-chessington-south-station-london-united-kingdom/>","hotels.com","hotels.com_114","","","","","hotel","antoinette kingston"
"Chessington Safari Hotel","<https://www.hotels.com/ho469139/chessington-safari-hotel-chessington-united-kingdom/>","<https://www.hotels.com/de1731693/hotels-near-kingston-upon-thames-chessington-south-station-london-united-kingdom/>","hotels.com","hotels.com_115","","","","","hotel","safari chessington"
"Normandie Hotel","<https://www.hotels.com/ho248450/normandie-hotel-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_116","","","","","hotel","normandie"
"The Nadler Victoria","<https://www.hotels.com/ho545888/the-nadler-victoria-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_117","","","","","","nadler victoria"
"Point A Hotel - London, Canary Wharf","<https://www.hotels.com/ho476222/point-a-hotel-london-canary-wharf-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_118","","","","","hotel","point wharf canary london"
"Holiday Inn Express London - ExCeL","<https://www.hotels.com/ho477739/holiday-inn-express-london-excel-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_119","","","","","inn express holiday","excel london"
"Hilton London Croydon","<https://www.hotels.com/ho182608/hilton-london-croydon-croydon-united-kingdom/>","<https://www.hotels.com/de554641/hotels-croydon-united-kingdom/>","hotels.com","hotels.com_12","","","","","hilton","croydon london"
"Point A Hotel London Shoreditch","<https://www.hotels.com/ho654408/point-a-hotel-london-shoreditch-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_120","","","","","hotel","point shoreditch london"
"Novotel London Tower Bridge","<https://www.hotels.com/ho175326/novotel-london-tower-bridge-london-united-kingdom/>","<https://www.hotels.com/de549499-am527/free-wifi-hotels-london-united-kingdom/>","hotels.com","hotels.com_121","","","","","","novotel london tower bridge"
