"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"The Z Hotel Soho","<https://www.booking.com/hotel/gb/the-z-hotels-soho.html?aid=303905&label=hotels>","<http://www.nighttours.com/london/gayguide/>","www.nighttours.com","counter_2546","W1D 5AP","17 Moor Street","uk","London","hotel","z soho"
"St Giles London \u2013 A St Giles Hotel","<https://www.booking.com/hotel/gb/stgileshotel.html?aid=303905&label=home>","<http://www.nighttours.com/london/>","www.nighttours.com","counter_2547","WC1B 3GH","Bedford Avenue","uk","London","hotel st","giles london"
"Strand Palace Hotel","<https://www.booking.com/hotel/gb/strandpalace.html?aid=303905&label=home>","<http://www.nighttours.com/london/>","www.nighttours.com","counter_2548","WC2R 0JJ","372 Strand","uk","London","hotel","strand palace"
"The Z Hotel Piccadilly","<https://www.booking.com/hotel/gb/the-z-piccadilly.html?aid=303905&label=home>","<http://www.nighttours.com/london/>","www.nighttours.com","counter_2549","WC2H 7DF","2 Orange Street","uk","London","hotel","z piccadilly"
"The Z Hotel Victoria","<https://www.booking.com/hotel/gb/the-z-victoria.html?aid=303905&label=home>","<http://www.nighttours.com/london/>","www.nighttours.com","counter_2550","SW1W 0NR","5 Lower Belgrave Street","uk","London","hotel","z victoria"
"Holiday Inn Express Dresden City Centre","<https://www.booking.com/hotel/de/holiday-inn-express-dresden-city-centre.html?aid=303905&label=home>","<http://www.nighttours.com/dresden/>","www.nighttours.com","www.nighttours.com_0","01067","Dr-Kuelz Ring 15a","de","Dresden","inn express centre city holiday","dresden"
"Holiday Inn Express Cleveland Downtown","<https://www.booking.com/hotel/us/holiday-inn-express-cleveland-downtown.html?aid=303905&label=home>","<http://www.nighttours.com/cleveland/>","www.nighttours.com","www.nighttours.com_1","44114","629 Euclid Ave","us","Cleveland","inn express downtown holiday","cleveland"
"Holiday Home La Roca.1","<https://www.booking.com/hotel/es/holiday-home-torremolinos-2764.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/torremolinos/gayguide/home-gay-club.html>","www.nighttours.com","www.nighttours.com_10","","","es","","la holiday","roca home"
"Platjador","<https://www.booking.com/hotel/es/platjador.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/sitges/gayguide/sitges-carnival.html>","www.nighttours.com","www.nighttours.com_100","08870","Passeig de la Ribera, 35-36","es","Sitges","","platjador"
"Grand Millennium Auckland","<https://www.booking.com/hotel/nz/rendezvous-auckland.html?aid=303905&label=home>","<http://www.nighttours.com/auckland/>","www.nighttours.com","www.nighttours.com_1000","1010","71 Mayoral Dr, Cnr Vincent St","nz","Auckland","grand","auckland millennium"
"VR Auckland City","<https://www.booking.com/hotel/nz/oaks-smartstay-on-hobson.html?aid=303905&label=home>","<http://www.nighttours.com/auckland/>","www.nighttours.com","www.nighttours.com_1001","1036","188 Hobson Street","nz","Auckland","city","auckland vr"
"Waldorf Celestion Apartment Hotel","<https://www.booking.com/hotel/nz/celestion-waldorf-apartments.html?aid=303905&label=home>","<http://www.nighttours.com/auckland/>","www.nighttours.com","www.nighttours.com_1002","1010","19 - 23 Anzac Avenue","nz","Auckland","apartment hotel","celestion waldorf"
"Auckland City Hotel - Hobson St","<https://www.booking.com/hotel/nz/auckland-city-hobson-st.html?aid=303905&label=home>","<http://www.nighttours.com/auckland/>","www.nighttours.com","www.nighttours.com_1003","1010","157 Hobson Street","nz","Auckland","hotel city st","auckland hobson"
"Rixos Libertas Dubrovnik","<https://www.booking.com/hotel/hr/rixos-libertas.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/dubrovnik/gayguide/gaynudesail.html>","www.nighttours.com","www.nighttours.com_1004","20000","Liechtensteinov Put 3","hr","Dubrovnik","","rixos libertas dubrovnik"
"Hotel Petka","<https://www.booking.com/hotel/hr/petka.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/dubrovnik/gayguide/gaynudesail.html>","www.nighttours.com","www.nighttours.com_1005","20000","Obala S. Radica 38","hr","Dubrovnik","hotel","petka"
"Apartments Festa","<https://www.booking.com/hotel/hr/festa-apartmants.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/dubrovnik/gayguide/gaynudesail.html>","www.nighttours.com","www.nighttours.com_1006","20 000","Hli\u0111ina 2","hr","Dubrovnik","apartments","festa"
"Grand Hotel Park","<https://www.booking.com/hotel/hr/grandhotelparkdubrovnik.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/dubrovnik/gayguide/gaynudesail.html>","www.nighttours.com","www.nighttours.com_1007","20000","Setaliste kralja Zvonimira 39","hr","Dubrovnik","hotel park grand",""
"Park Plaza Santiago","<https://www.booking.com/hotel/cl/santiago-park-plaza.html?aid=303905&label=home>","<http://www.nighttours.com/santiago/>","www.nighttours.com","www.nighttours.com_1008","7510190 ","Av. Ricardo Lyon 207 ","cl","Santiago","plaza park","santiago"
"NH Collection Plaza Santiago","<https://www.booking.com/hotel/cl/nh-collection-plaza-santiago.html?aid=303905&label=home>","<http://www.nighttours.com/santiago/>","www.nighttours.com","www.nighttours.com_1009","6760197","Avenida Vitacura, 2610","cl","Santiago","plaza","nh collection santiago"
"Hotel Subur","<https://www.booking.com/hotel/es/subur.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/sitges/gayguide/sitges-carnival.html>","www.nighttours.com","www.nighttours.com_101","08870","Paseo de la Ribera, s/n","es","Sitges","hotel","subur"
"Hotel Kennedy","<https://www.booking.com/hotel/cl/kennedy-santiago.html?aid=303905&label=home>","<http://www.nighttours.com/santiago/>","www.nighttours.com","www.nighttours.com_1010","7630454","Avenida Kennedy, 4570","cl","Santiago","hotel","kennedy"
"Time Suite","<https://www.booking.com/hotel/cl/time-suites.html?aid=303905&label=home>","<http://www.nighttours.com/santiago/>","www.nighttours.com","www.nighttours.com_1011","7550274","Callao 2988","cl","Santiago","","suite time"
"Motel 6 Mammoth Lakes","<https://www.booking.com/hotel/us/motel-6-mammoth-lakes.html?aid=303905&label=home>","<http://www.nighttours.com/mammoth/>","www.nighttours.com","www.nighttours.com_1012","93546","3372 Main Street","us","Mammoth Lakes","motel","lakes mammoth"
"The Village Lodge","<https://www.booking.com/hotel/us/the-village-lodge.html?aid=303905&label=home>","<http://www.nighttours.com/mammoth/>","www.nighttours.com","www.nighttours.com_1013","93546","1111 Forest Trail","us","Mammoth Lakes","lodge","village"
"Juniper Springs Resort","<https://www.booking.com/hotel/us/juniper-springs-resort.html?aid=303905&label=home>","<http://www.nighttours.com/mammoth/>","www.nighttours.com","www.nighttours.com_1014","93546","4000 Meridian Boulevard","us","Mammoth Lakes","resort","juniper springs"
"Tamarack Lodge","<https://www.booking.com/hotel/us/tamarack-lodge.html?aid=303905&label=home>","<http://www.nighttours.com/mammoth/>","www.nighttours.com","www.nighttours.com_1015","93546","163 Twin Lakes Road","us","Mammoth Lakes","lodge","tamarack"
"Park Hotel Tokyo","<https://www.booking.com/hotel/jp/park-tokyo.html?aid=303905&label=home>","<http://www.nighttours.com/tokyo/>","www.nighttours.com","www.nighttours.com_1016","105-7227","Minato-ku Higashi Shimbashi 1-7-1","jp","Tokyo","hotel park","tokyo"
"Hotel Metropolitan Tokyo Ikebukuro","<https://www.booking.com/hotel/jp/metropolitan-tokyo.html?aid=303905&label=home>","<http://www.nighttours.com/tokyo/>","www.nighttours.com","www.nighttours.com_1017","171-8505","Toshima-ku, Nishi-Ikebukuro 1-6-1","jp","Tokyo","hotel","ikebukuro metropolitan tokyo"
"Stayto","<https://www.booking.com/hotel/jp/oak-tokyo.html?aid=303905&label=home>","<http://www.nighttours.com/tokyo/>","www.nighttours.com","www.nighttours.com_1018","110-0015","Taito-ku Higashiueno 6-1-2","jp","Tokyo","","stayto"
"ANA InterContinental Tokyo","<https://www.booking.com/hotel/jp/ana-intercontinental-tokyo.html?aid=303905&label=home>","<http://www.nighttours.com/tokyo/>","www.nighttours.com","www.nighttours.com_1019","107-0052","Minato-ku, Akasaka 1-12-33 ","jp","Tokyo","intercontinental","tokyo ana"
"La Santa Mar\u00EDa","<https://www.booking.com/hotel/es/la-santa-maria.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/sitges/gayguide/sitges-carnival.html>","www.nighttours.com","www.nighttours.com_102","08870","Paseo de la Ribera, 52","es","Sitges","la","santa mar"
"Jurys Inn Belfast","<https://www.booking.com/hotel/gb/jurys-belfast.html?aid=303905&label=home>","<http://www.nighttours.com/belfast/>","www.nighttours.com","www.nighttours.com_1020","BT1 6DY","Great Victoria Street","uk","Belfast","inn","jurys belfast"
