"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Holiday Inn Warsaw Jozefow","<http://www.touristlink.com/poland/warsaw/cat/hotels.html>","<http://www.touristlink.com/poland/jewish-kirkut-of-orla/cat/hotels.html>","www.touristlink.com","touristlink.com_0","05 420","Telimeny Street 1","Poland","Warsaw","inn holiday","jozefow warsaw"
"Holiday Inn Reading M4 Jct 10","<http://www.touristlink.com/england/reading/cat/hotels.html>","<http://www.touristlink.com/england/royal-vauxhall-tavern/cat/hotels.html>","www.touristlink.com","touristlink.com_1","RG41 5TS","Wharfedale Road, Winnersh Triangle,, Reading, Berkshire","England","Reading","inn holiday","jct reading"
"Holiday Express and Suites Usf Busch","<http://www.touristlink.com/united-states/tampa/cat/hotels.html>","<http://www.touristlink.com/united-states/tampa/cat/hotels.html>","www.touristlink.com","touristlink.com_10","33612","2807 E Busch Blvd","United States","Tampa","express suites holiday","usf busch"
"Holiday Inn Hotel Ste Parsippany","<http://www.touristlink.com/united-states/new-jersey/cat/hotels.html>","<http://www.touristlink.com/united-states/north-plainfield/cat/hotels.html>","www.touristlink.com","touristlink.com_100","07054","707 Rt 46","United States","Parsippany","inn hotel holiday","ste parsippany"
"Four Seasons Jackson Hole","<http://www.touristlink.com/united-states/wyoming-teton-village/cat/hotels.html>","<http://www.touristlink.com/united-states/wyoming/cat/hotels.html>","www.touristlink.com","touristlink.com_1000","83025","7680 Granite Loop","United States","Teton Village","","seasons hole four jackson"
"Autoinn Motel","<http://www.touristlink.com/united-states/newcastle/cat/hotels.html>","<http://www.touristlink.com/united-states/wyoming/cat/hotels.html>","www.touristlink.com","touristlink.com_1001","83701","2503 West Main Street","United States","Newcastle","motel","autoinn"
"Hotel Sveta Elena","<http://www.touristlink.com/bulgaria/varna/cat/hotels.html>","<http://www.touristlink.com/bulgaria/cat/hotels.html>","www.touristlink.com","touristlink.com_1002","9006","Saint Constantine & Helena Resort","Bulgaria","Varna","hotel","sveta elena"
"Mistral Hotel","<http://www.touristlink.com/bulgaria/cat/hotels.html>","<http://www.touristlink.com/bulgaria/cat/hotels.html>","www.touristlink.com","touristlink.com_1003","9006","Constantine And Helena","Bulgaria","St.constantine","hotel","mistral"
"Aktinia","<http://www.touristlink.com/bulgaria/sunny-beach/cat/hotels.html>","<http://www.touristlink.com/bulgaria/cat/hotels.html>","www.touristlink.com","touristlink.com_1004","8240","Sunny Beach","Bulgaria","Sunny Beach","","aktinia"
"Montecristo River Lodge","<http://www.touristlink.com/nicaragua/el-castillo/cat/hotels.html>","<http://www.touristlink.com/nicaragua/bluefields/cat/hotels.html>","www.touristlink.com","touristlink.com_1005","900000","Boca de Sabalos","Nicaragua","El Castillo","lodge","montecristo river"
"Marco Polo Davao","<http://www.touristlink.com/philippines/davao-city/cat/hotels.html>","<http://www.touristlink.com/philippines/davao-city/cat/hotels.html>","www.touristlink.com","touristlink.com_1006","8000","Claro M Recto Street","Philippines","Davao","","marco davao polo"
"Manas Lifestyle","<http://www.touristlink.com/india/igatpuri/cat/hotels.html>","<http://www.touristlink.com/india/nandur-madhmeshwar-bird-sanctuary/cat/hotels.html>","www.touristlink.com","touristlink.com_1007","400050","Mumbai Agra Rd, Jewel Dhanraj Jewellers, Waterfield Road, Bandra West","India","Igatpuri","","lifestyle manas"
"Sajan Nature Club","<http://www.touristlink.com/india/thane/cat/hotels.html>","<http://www.touristlink.com/india/nandur-madhmeshwar-bird-sanctuary/cat/hotels.html>","www.touristlink.com","touristlink.com_1008","422403","3rd Floor, Hemendra Shopping Center,Gokhale Road, Naupada, Thane(W)","India","Thane","","nature sajan club"
"Hotel Uday Palace","<http://www.touristlink.com/india/dhule/cat/hotels.html>","<http://www.touristlink.com/india/nandur-madhmeshwar-bird-sanctuary/cat/hotels.html>","www.touristlink.com","touristlink.com_1009","424304","Surat National Highway, NH 6, Opp. MSEB Plant","India","Dhule","hotel","palace uday"
"Holiday Inn Yanbu","<http://www.touristlink.com/saudi-arabia/yanbu/cat/hotels.html>","<http://www.touristlink.com/saudi-arabia/masjid-al-qiblatain/cat/hotels.html>","www.touristlink.com","touristlink.com_101","51888","P O Box 452","Saudi Arabia","Yanbu","inn holiday","yanbu"
"Best Western Chicago Hillside","<http://www.touristlink.com/united-states/hillside/cat/hotels.html>","<http://www.touristlink.com/united-states/german-waldheim-cemetery/cat/hotels.html>","www.touristlink.com","touristlink.com_1010","60162","4400 Frontage Road","United States","Hillside","best western","hillside chicago"
"Days Inn O'hare South","<http://www.touristlink.com/united-states/melrose-park/cat/hotels.html>","<http://www.touristlink.com/united-states/german-waldheim-cemetery/cat/hotels.html>","www.touristlink.com","touristlink.com_1011","60160","1900 N Mannheim Rd","United States","Melrose Park","south inn","days hare"
"Super 8 Chicago Northlake O Ha","<http://www.touristlink.com/united-states/illinois-northlake/cat/hotels.html>","<http://www.touristlink.com/united-states/german-waldheim-cemetery/cat/hotels.html>","www.touristlink.com","touristlink.com_1012","60164","2080 N Mannheim Rd","United States","Northlake","super","ha northlake chicago"
