"authors","frequent_part_title","infrequent_part_title","title","uri","venue","year"
"gottfried vossen , mathias weske","system management","workflow oriented object","the wasa2 object-oriented workflow management system","acm_0","international conference on management of data","1999"
"isabel f. cruz , kimberly m. james","databases","centered querying multimedia distributed user interface","a user-centered interface for querying distributed multimedia databases","acm_1","international conference on management of data","1999"
"athman bouguettaya , boualem benatallah , lily hendra , james beard , kevin smith , mourad quzzani","databases database","integrating corba wide world web","world wide database-integrating the web , corba and databases","acm_2","international conference on management of data","1999"
"chaitan baru , amarnath gupta , bertram lud &#228; scher , richard marciano , yannis papakonstantinou , pavel velikhov , vincent chu","information based","mix xml mediation","xml-based information mediation with mix","acm_3","international conference on management of data","1999"
"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo","system database","oriented ccube constraint object","the ccube constraint object-oriented database system","acm_4","international conference on management of data","1999"
"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu","","cornell adding predator jaguar mobility project","the cornell jaguar project : adding mobility to predator","acm_5","international conference on management of data","1999"
"nick roussopoulos , yannis kotidis , yannis sismanis","","cubetree controller organization storage active multisync","the active multisync controller of the cubetree storage organization","acm_6","international conference on management of data","1999"
"michael b &#246; hlen , linas bukauskas , curtis dyreson","database","search engine jungle","the jungle database search engine","acm_7","international conference on management of data","1999"
"n. r. jennings , t. j. norman , p. faratin","management based","business approach agent adept process","adept : an agent-based approach to business process management","acm_8","acm sigmod record","1998"
"benny reich , israel ben-shaul","","electronic dynamic componentized markets architecture","a componentized architecture for dynamic electronic markets","acm_9","acm sigmod record","1998"
"susanne boll , wolfgang klas , bernard battaglin","","rmp implementation virtual design place market electronic","design and implementation of rmp : a virtual electronic market place","acm_10","acm sigmod record","1998"
"alex g. b &#252; chner , maurice d. mulvenna","","analytical mining intelligence online web marketing usage discovering internet","discovering internet marketing intelligence through online analytical web usage mining","acm_11","acm sigmod record","1998"
"martin bichler , arie segev , j. leon zhao","based","commerce directions e practices assessment future component current","component-based e-commerce : assessment of current practices and future directions","acm_12","acm sigmod record","1998"
"sherif danish","database","driven electronic building catalogs","building database-driven electronic catalogs","acm_13","acm sigmod record","1998"
"bart meltzer , robert glushko","","enabling commerce network economy xml electronic","xml and electronic commerce : enabling the network economy","acm_14","acm sigmod record","1998"
"asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer","based","electronic web marketplace workflow","a workflow-based electronic marketplace on the web","acm_15","acm sigmod record","1998"
"mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik","data","scale delivery toolkit adaptable large dbis middleware","dbis-toolkit : adaptable middleware for large scale data delivery","acm_16","international conference on management of data","1999"
"ling liu , wei han , david buttler , calton pu , wei tang","information based","xjml generator extraction wrapper web","an xjml-based wrapper generator for web information extraction","acm_17","international conference on management of data","1999"
"reinhard braumandl , alfons kemper , donald kossmann","database","patchwork internet","database patchwork on the internet","acm_18","international conference on management of data","1999"
"ouri wolfson , prasad sistla , bo xu , jutai zhou , sam chamberlain","databases","domino tracking objects moving","domino : databases for moving objects tracking","acm_19","international conference on management of data","1999"
"lyman do , prabhu ram , pamela drew","","transactions need asynchronous distributed","the need for distributed asynchronous transactions","acm_20","international conference on management of data","1999"
"thomas bergstraesser , philip a. bernstein , shankar pal , david shutt","","workspaces repository versions microsoft","versions and workspaces in microsoft repository","acm_21","international conference on management of data","1999"
"stefano m. trisolini , maurizio lenzerini , daniele nardi","data","warehousing integration italia telecom","data integration and warehousing in telecom italia","acm_22","international conference on management of data","1999"
"matthias jarke , christoph quix , guido blees , dirk lehmann , gunter michalk , stefan stierl","using data","oltp quality mechanisms warehouse improving","improving oltp data quality using data warehouse mechanisms","acm_23","international conference on management of data","1999"
"e. a. rundensteiner , k. claypool , m. li , l. chen , z. zhang , c. natarajan , j. jin , s. de lima , s. weiner","based","generic facility serf odmg structuring","serf : odmg-based generic re-structuring facility","acm_24","international conference on management of data","1999"
"wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito","system management information","personalizable sharing web organization powerbookmarks","powerbookmarks : a system for personalizable web information organization , sharing , and management","acm_25","international conference on management of data","1999"
"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy","system","approximate query answering aqua","the aqua approximate query answering system","acm_26","international conference on management of data","1999"
"tong zhou , ling liu , calton pu","system management","transactional activity tam dynamic","tam : a system for dynamic transactional activity management","acm_27","international conference on management of data","1999"
"raymond ng , laks v. s. lakshmanan , jiawei han , teresa mah","","frequent via queries mining constrained set exploratory","exploratory mining via constrained frequent set queries","acm_28","international conference on management of data","1999"
"e. a. rundensteiner , a. koeller , x. zhang , a. j. lee , a. nica , a. van wyk , y. lee","","eve evolvable environment schema changes view maintenance equivalent non","evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes","acm_29","international conference on management of data","1999"
"roger barga , david b. lomet","","making phoenix applications robust","phoenix : making applications robust","acm_30","international conference on management of data","1999"
"brad adelberg , matthew denny","","version nodose","nodose version 2.0","acm_31","international conference on management of data","1999"
"vishu krishnamurthy , sandeepan banerjee , anil nori","","relational technology mainstream bringing object","bringing object-relational technology to the mainstream","acm_32","international conference on management of data","1999"
"paul brown","","spirit implementing sql","implementing the spirit of sql-99","acm_33","international conference on management of data","1999"
"dan suciu","data","managing web","managing web data","acm_34","international conference on management of data","1999"
"m. carey , d. chamberlin , d. doole , s. rielau , n. mattos , s. narayanan , b. vance , r. swagerman","","happening","o-o , what 's happening to db2 ?","acm_35","international conference on management of data","1999"
"soumen chakrabarti","databases data","mining hypertext","hypertext databases and data mining","acm_36","international conference on management of data","1999"
"alexander hinneburg , daniel a. keim","databases","large clustering methods future past","clustering methods for large databases : from the past to the future","acm_37","international conference on management of data","1999"
"dirk d &#252; llmann","databases","petabyte","petabyte databases","acm_38","international conference on management of data","1999"
"c. mohan","database","domino notes perspective lotus","a database perspective on lotus domino/notes","acm_39","international conference on management of data","1999"
"bassel ojjeh","","commerce ed talk available microsoft site slides conference server","microsoft site server ( commerce ed . ) : talk-slides available at the conference","acm_40","international conference on management of data","1999"
"anand rajaraman","database","commerce e talk available issues slides experience conference","e-commerce database issues and experience : ( talk-slides available at at the conference )","acm_41","international conference on management of data","1999"
"brad hammond","","microsoft server replication sql merge","merge replication in microsoft 's sql server 7.0","acm_42","international conference on management of data","1999"
"corporate timesten team","management data","transactions approach memory timesten consumer","in-memory data management for consumer transactions the timesten approach","acm_43","international conference on management of data","1999"
"walt kohler","information data","unix nt mvs direct sharing emc access","emc information sharing : direct access to mvs data from unix and nt","acm_44","international conference on management of data","1999"
"rick greer","","generation language cymbal daytona foruth","daytona and the foruth-generation language cymbal","acm_45","international conference on management of data","1999"
"j. baulier , p. bohannon , s. gogate , c. gupta , s. haldar","database","applications memory manager datablitz critical storage performance main","datablitz storage manager : main-memory database performance for critical applications","acm_46","international conference on management of data","1999"
"k. v. ravi kanth , siva ravada , jayant sharma , jay banerjee","data","indexing medium dimensionality oracle","indexing medium-dimensionality data in oracle","acm_47","international conference on management of data","1999"
"alin deutsch , mary fernandez , dan suciu","data","semistructured stored storing","storing semistructured data with stored","acm_48","international conference on management of data","1999"
"daniel a. keim","databases based","similarity search geometry spatial efficient","efficient geometry-based similarity search of 3d spatial databases","acm_49","international conference on management of data","1999"
"charu c. aggarwal , joel l. wolf , philip s. yu","data","basket indexing method new market similarity","a new method for similarity indexing of market basket data","acm_50","international conference on management of data","1999"
"apostol natsev , rajeev rastogi , kyuseok shim","databases","similarity algorithm image walrus retrieval","walrus : a similarity retrieval algorithm for image databases","acm_51","international conference on management of data","1999"
"wilburt juan labio , ramana yerneni , hector garcia-molina","","window update warehouse shrinking","shrinking the warehouse update window","acm_52","international conference on management of data","1999"
"yannis kotidis , nick roussopoulos","system management data","view dynamat warehouses dynamic","dynamat : a dynamic view management system for data warehouses","acm_53","international conference on management of data","1999"
"kevin beyer , raghu ramakrishnan","","sparse iceberg bottom cube computation","bottom-up computation of sparse and iceberg cube","acm_54","international conference on management of data","1999"
"tobias mayr , praveen seshadri","","extensions site query client","client-site query extensions","acm_55","international conference on management of data","1999"
"m. tamer &#214; zsu","management data","electronic issues commerce","data management issues in electronic commerce","acm_56","international conference on management of data","1999"
"minos n. garofalakis , sridhar ramaswamy , rajeev rastogi , kyuseok shim","","crawlers mining portals web mice men","of crawlers , portals , mice , and men : is there more to mining the web ?","acm_57","international conference on management of data","1999"
"praveen seshadri","database","beyond mobility honey footprint shrunk","honey , i shrunk the database : footprint , mobility , and beyond","acm_58","international conference on management of data","1999"
