"URI","City","City population","Country","lat","long"
"WebTables_0","MacAllen","110,000","USA","",""
"WebTables_1","Maceio","922,000","Brazil","",""
"WebTables_2","Macheng","1,880,000","China","",""
"WebTables_3","MADRID","3,213,000","Spain","",""
"WebTables_4","Madurai","1,130,000","India","",""
"WebTables_5","Magdeburg","230,000","Germany","",""
"WebTables_6","Maiduguri","1,200,000","Nigeria","",""
"WebTables_7","Makasar","1,113,000","Indonesia","",""
"WebTables_8","Malang","742,000","Indonesia","",""
"WebTables_9","Malmo","244,000","Sweden","",""
"WebTables_10","MANAGUA","1,185,000","Nicaragua","",""
"WebTables_11","Manaus","1,739,000","Brazil","",""
"WebTables_12","Manchester","464,000","UK","",""
"WebTables_13","Mandalay","961,000","Myanmar (Burma)","",""
"WebTables_14","MANILA METRO","11,550,000","Philippines","",""
"WebTables_15","Mannheim","311,000","Germany","",""
"WebTables_16","MAPUTO","1,244,000","Mozambique","",""
"WebTables_17","Maracaibo","1,799,000","Venezuela","",""
"WebTables_18","Maracay","479,000","Venezuela","",""
"WebTables_19","Marrakech","1,071,000","Morocco","",""
"WebTables_20","Marseille","852,000","France","",""
"WebTables_21","Mashhad","2,910,000","Iran","",""
"WebTables_22","Masqat-Matrah","776,000","Oman","",""
"WebTables_23","Matamoros","370,000","Mexico","",""
"WebTables_24","Mataram","330,000","Indonesia","",""
"WebTables_25","Mbuji-Mayi","905,000","Congo D.R.","",""
"WebTables_26","Mecca","1,700,000","Saudi Arabia","",""
"WebTables_27","Medan","1,990,000","Indonesia","",""
"WebTables_28","Medellin","2,223,000","Colombia","",""
"WebTables_29","Medina","1,300,000","Saudi Arabia","",""
"WebTables_30","Meerut","1,277,000","India","",""
"WebTables_31","Melbourne","3,635,000","Australia","",""
"WebTables_32","Memphis","670,000","USA","",""
"WebTables_33","Mendoza","113,000","Argentina","",""
"WebTables_34","Merida","734,000","Mexico","",""
"WebTables_35","Mexicali","1,000,000","Mexico","",""
"WebTables_36","MEXICO CITY","8,841,000","Mexico","",""
"WebTables_37","Miami","386,000","USA","",""
"WebTables_38","Mianyang","1,300,000","China","",""
"WebTables_39","Milan","1,302,000","Italy","",""
"WebTables_40","Milwaukee","604,000","USA","",""
"WebTables_41","Minneapolis","392,000","USA","",""
"WebTables_42","MINSK","1,831,000","Belarus","",""
"WebTables_43","Mirat","1,095,000","India","",""
"WebTables_44","MOGADISHU","1,500,000","Somalia","",""
"WebTables_45","Mombasa","880,000","Kenia","",""
"WebTables_46","MONROVIA","543,000","Liberia","",""
"WebTables_47","Monterrey","2,057,000","Mexico","",""
"WebTables_48","MONTEVIDEO","1,326,000","Uruguay","",""
"WebTables_49","Montpellier","252,000","France","",""
"WebTables_50","Montreal","1,621,000","Canada","",""
"WebTables_51","MOSCOW","10,524,000","Russia","",""
"WebTables_52","Mosul","1,139,000","Iraq","",""
"WebTables_53","Mudanjiang","1,014,000","China","",""
"WebTables_54","Multan","1,424,000","Pakistan","",""
"WebTables_55","Mumbai (Bombay)","13,900,000","India","",""
"WebTables_56","Munich","1,367,000","Germany","",""
"WebTables_57","Münster","274,000","Germany","",""
"WebTables_58","Mysore","799,000","India","",""
