"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"The Z Hotel Soho","<https://www.booking.com/hotel/gb/the-z-hotels-soho.html?aid=303905&label=hotels>","<http://www.nighttours.com/london/gayguide/>","www.nighttours.com","www.nighttours.com_2546","W1D 5AP","17 Moor Street","uk","London","hotel","z soho"
"St Giles London \u2013 A St Giles Hotel","<https://www.booking.com/hotel/gb/stgileshotel.html?aid=303905&label=home>","<http://www.nighttours.com/london/>","www.nighttours.com","www.nighttours.com_2547","WC1B 3GH","Bedford Avenue","uk","London","st hotel","giles london"
"Strand Palace Hotel","<https://www.booking.com/hotel/gb/strandpalace.html?aid=303905&label=home>","<http://www.nighttours.com/london/>","www.nighttours.com","www.nighttours.com_2548","WC2R 0JJ","372 Strand","uk","London","hotel","palace strand"
"The Z Hotel Piccadilly","<https://www.booking.com/hotel/gb/the-z-piccadilly.html?aid=303905&label=home>","<http://www.nighttours.com/london/>","www.nighttours.com","www.nighttours.com_2549","WC2H 7DF","2 Orange Street","uk","London","hotel","z piccadilly"
"The Z Hotel Victoria","<https://www.booking.com/hotel/gb/the-z-victoria.html?aid=303905&label=home>","<http://www.nighttours.com/london/>","www.nighttours.com","www.nighttours.com_2550","SW1W 0NR","5 Lower Belgrave Street","uk","London","hotel","z victoria"
"Holiday Inn Express Dresden City Centre","<https://www.booking.com/hotel/de/holiday-inn-express-dresden-city-centre.html?aid=303905&label=home>","<http://www.nighttours.com/dresden/>","www.nighttours.com","www.nighttours.com_0","01067","Dr-Kuelz Ring 15a","de","Dresden","express city centre holiday inn","dresden"
"Holiday Inn Express Cleveland Downtown","<https://www.booking.com/hotel/us/holiday-inn-express-cleveland-downtown.html?aid=303905&label=home>","<http://www.nighttours.com/cleveland/>","www.nighttours.com","www.nighttours.com_1","44114","629 Euclid Ave","us","Cleveland","express downtown holiday inn","cleveland"
"Holiday Home La Roca.1","<https://www.booking.com/hotel/es/holiday-home-torremolinos-2764.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/torremolinos/gayguide/home-gay-club.html>","www.nighttours.com","www.nighttours.com_10","","","es","","la holiday","roca home"
"Platjador","<https://www.booking.com/hotel/es/platjador.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/sitges/gayguide/sitges-carnival.html>","www.nighttours.com","www.nighttours.com_100","08870","Passeig de la Ribera, 35-36","es","Sitges","","platjador"
"Grand Millennium Auckland","<https://www.booking.com/hotel/nz/rendezvous-auckland.html?aid=303905&label=home>","<http://www.nighttours.com/auckland/>","www.nighttours.com","www.nighttours.com_1000","1010","71 Mayoral Dr, Cnr Vincent St","nz","Auckland","grand","auckland millennium"
"VR Auckland City","<https://www.booking.com/hotel/nz/oaks-smartstay-on-hobson.html?aid=303905&label=home>","<http://www.nighttours.com/auckland/>","www.nighttours.com","www.nighttours.com_1001","1036","188 Hobson Street","nz","Auckland","city","vr auckland"
